n,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,avg
50,1.84,1.88,1.76,1.68,1.88,1.68,1.84,1.96,1.76,1.8,1.88,1.72,1.76,1.84,1.92,1.96,1.92,1.8,1.8,1.84,1.8,1.68,1.68,1.72,1.64,1.76,1.72,1.92,1.76,1.68,1.76,1.88,1.88,1.84,1.8,1.92,1.76,1.6,1.8,1.8,1.76,1.88,1.8,1.88,1.8,1.84,1.88,1.72,1.88,1.8,1.8031999999999997
100,1.78,1.74,1.84,1.82,1.84,1.86,1.78,1.78,1.84,1.74,1.7,1.8,1.78,1.92,1.74,1.78,1.8,1.8,1.88,1.74,1.8,1.74,1.76,1.82,1.72,1.82,1.8,1.82,1.74,1.82,1.78,1.84,1.84,1.9,1.74,1.82,1.82,1.78,1.68,1.86,1.74,1.8,1.78,1.74,1.8,1.8,1.78,1.76,1.8,1.88,1.7948
150,1.7733333333333334,1.7866666666666666,1.8933333333333333,1.84,1.7866666666666666,1.8666666666666667,1.8533333333333333,1.7866666666666666,1.7733333333333334,1.8133333333333332,1.7866666666666666,1.8533333333333333,1.84,1.7866666666666666,1.8,1.76,1.88,1.8533333333333333,1.8,1.8133333333333332,1.84,1.84,1.7733333333333334,1.8666666666666667,1.76,1.8,1.8266666666666667,1.7466666666666666,1.84,1.8133333333333332,1.7333333333333334,1.8133333333333332,1.7333333333333334,1.8266666666666667,1.7466666666666666,1.8133333333333332,1.7733333333333334,1.8266666666666667,1.76,1.7333333333333334,1.8666666666666667,1.84,1.7066666666666668,1.84,1.7866666666666666,1.7733333333333334,1.84,1.72,1.8533333333333333,1.88,1.8064000000000002
200,1.86,1.76,1.71,1.83,1.8,1.79,1.87,1.76,1.82,1.83,1.81,1.79,1.76,1.81,1.78,1.82,1.81,1.78,1.76,1.74,1.75,1.84,1.88,1.92,1.85,1.86,1.79,1.74,1.81,1.68,1.76,1.8,1.83,1.77,1.87,1.84,1.77,1.8,1.85,1.82,1.77,1.82,1.77,1.8,1.75,1.86,1.77,1.82,1.8,1.82,1.8019999999999998
250,1.856,1.744,1.776,1.792,1.784,1.768,1.704,1.76,1.8,1.792,1.744,1.776,1.776,1.832,1.856,1.76,1.784,1.824,1.8,1.84,1.792,1.776,1.824,1.824,1.84,1.84,1.8,1.824,1.832,1.848,1.744,1.808,1.824,1.752,1.824,1.808,1.784,1.768,1.816,1.752,1.792,1.816,1.744,1.784,1.864,1.864,1.752,1.872,1.832,1.76,1.7985600000000002
300,1.8333333333333333,1.8066666666666666,1.7333333333333334,1.7866666666666666,1.7733333333333334,1.82,1.7866666666666666,1.8133333333333332,1.86,1.8533333333333333,1.7933333333333332,1.84,1.82,1.7333333333333334,1.82,1.7333333333333334,1.8266666666666667,1.8,1.7733333333333334,1.78,1.7533333333333334,1.7733333333333334,1.7933333333333332,1.84,1.84,1.8,1.8066666666666666,1.7866666666666666,1.84,1.8066666666666666,1.82,1.7866666666666666,1.78,1.7733333333333334,1.8133333333333332,1.7933333333333332,1.8133333333333332,1.82,1.8133333333333332,1.7666666666666666,1.8133333333333332,1.8066666666666666,1.8466666666666667,1.82,1.8,1.8066666666666666,1.8133333333333332,1.82,1.78,1.7866666666666666,1.8019999999999998
350,1.8457142857142856,1.8,1.7485714285714287,1.8,1.8457142857142856,1.7657142857142858,1.7085714285714286,1.8171428571428572,1.8171428571428572,1.7771428571428571,1.76,1.8285714285714285,1.8285714285714285,1.7942857142857143,1.8171428571428572,1.7714285714285714,1.7428571428571429,1.782857142857143,1.8057142857142856,1.8057142857142856,1.822857142857143,1.7942857142857143,1.84,1.84,1.8342857142857143,1.7542857142857142,1.7771428571428571,1.8057142857142856,1.8171428571428572,1.84,1.7314285714285715,1.7885714285714285,1.7714285714285714,1.8114285714285714,1.8,1.8285714285714285,1.8342857142857143,1.7885714285714285,1.822857142857143,1.8,1.8171428571428572,1.8,1.8057142857142856,1.76,1.8171428571428572,1.822857142857143,1.7942857142857143,1.8,1.7542857142857142,1.84,1.7995428571428573
400,1.77,1.83,1.825,1.795,1.81,1.765,1.845,1.77,1.79,1.875,1.77,1.755,1.79,1.8,1.805,1.795,1.815,1.835,1.805,1.78,1.815,1.84,1.8,1.84,1.82,1.815,1.79,1.83,1.83,1.835,1.8,1.855,1.815,1.82,1.79,1.805,1.8,1.825,1.82,1.785,1.79,1.815,1.775,1.835,1.765,1.755,1.815,1.825,1.81,1.75,1.8058
450,1.7955555555555556,1.8177777777777777,1.7822222222222222,1.791111111111111,1.7955555555555556,1.8311111111111111,1.7422222222222221,1.8133333333333332,1.808888888888889,1.7644444444444445,1.8311111111111111,1.8222222222222222,1.808888888888889,1.7866666666666666,1.7955555555555556,1.7866666666666666,1.8177777777777777,1.8177777777777777,1.7733333333333334,1.7555555555555555,1.8,1.7866666666666666,1.7777777777777777,1.8177777777777777,1.8044444444444445,1.8577777777777778,1.84,1.8133333333333332,1.7244444444444444,1.8444444444444446,1.8266666666666667,1.8311111111111111,1.8755555555555556,1.8133333333333332,1.8133333333333332,1.8266666666666667,1.808888888888889,1.8266666666666667,1.84,1.8222222222222222,1.7466666666666666,1.791111111111111,1.8133333333333332,1.76,1.8222222222222222,1.8311111111111111,1.808888888888889,1.808888888888889,1.791111111111111,1.808888888888889,1.805422222222222
500,1.82,1.812,1.788,1.752,1.82,1.796,1.8,1.816,1.788,1.836,1.796,1.82,1.8,1.828,1.792,1.812,1.728,1.824,1.832,1.82,1.768,1.792,1.836,1.788,1.784,1.8,1.82,1.74,1.768,1.836,1.776,1.756,1.804,1.804,1.788,1.804,1.82,1.792,1.788,1.784,1.796,1.832,1.812,1.824,1.76,1.796,1.796,1.752,1.776,1.744,1.7963200000000001
